State,City,Avg Rent,Foot Traffic,Avg Income,Competitor Count,Growth Index,Category,Detailed Idea,Investors
Madhya Pradesh,Indore,45664,41690,169929,15,8.28,FoodTech,Subscription-based organic meal plans,Elevation Capital
Delhi,New Delhi,97468,43593,138880,36,9.57,AI/ML,Predictive analytics for businesses,SoftBank
Gujarat,Surat,41032,30775,183731,14,6.18,E-commerce,Online marketplace for niche products,Tiger Global
Maharashtra,Nagpur,99274,40545,83292,1,4.1,E-commerce,Online marketplace for niche products,Accel Partners
Telangana,Hyderabad,85666,21643,36019,16,8.03,SaaS,Cloud-based HR management software,General Catalyst
Tamil Nadu,Coimbatore,93672,33760,115604,47,8.64,Renewable Energy,Solar panel efficiency optimizer,Blume Ventures
Rajasthan,Udaipur,50142,3575,66628,44,4.05,Fintech,AI-driven financial advisory platform,Matrix Partners
Telangana,Warangal,70705,23765,121191,3,6.53,FoodTech,Subscription-based organic meal plans,Blume Ventures
West Bengal,Howrah,25850,21150,115805,35,7.76,FoodTech,Subscription-based organic meal plans,Matrix Partners
Gujarat,Ahmedabad,27836,34692,90070,13,6.28,Fintech,AI-driven financial advisory platform,Elevation Capital
Maharashtra,Mumbai,96243,48456,58600,49,5.16,E-commerce,Online marketplace for niche products,Blume Ventures
Maharashtra,Mumbai,80185,23996,94061,4,2.36,FoodTech,Subscription-based organic meal plans,Blume Ventures
Karnataka,Bangalore,24504,7366,130125,4,3.41,Logistics,Last-mile delivery optimization software,SoftBank
Tamil Nadu,Chennai,23593,13724,71841,37,5.32,Real Estate,AI-powered property valuation tool,Elevation Capital
Telangana,Hyderabad,66021,36040,161965,36,3.81,Fintech,AI-driven financial advisory platform,Y Combinator
Madhya Pradesh,Bhopal,20155,35050,155149,32,9.35,Edtech,Gamified learning platform for kids,SoftBank
Uttar Pradesh,Noida,59359,25009,138862,39,9.64,Fintech,AI-driven financial advisory platform,SoftBank
Uttar Pradesh,Kanpur,36570,34156,51203,43,8.66,Renewable Energy,Solar panel efficiency optimizer,Y Combinator
Telangana,Hyderabad,52979,33995,173287,33,4.14,Fintech,AI-driven financial advisory platform,Matrix Partners
Tamil Nadu,Coimbatore,35468,26694,23845,13,5.4,E-commerce,Online marketplace for niche products,Y Combinator
Telangana,Hyderabad,84026,18541,62604,37,9.82,Healthcare,Telemedicine platform with AI diagnosis,Sequoia Capital
Uttar Pradesh,Kanpur,10271,25620,22354,13,6.52,Edtech,Gamified learning platform for kids,General Catalyst
Telangana,Hyderabad,16221,35908,172128,7,2.84,SaaS,Cloud-based HR management software,Elevation Capital
West Bengal,Kolkata,15863,1681,50268,24,5.31,AI/ML,Predictive analytics for businesses,Elevation Capital
Maharashtra,Mumbai,24210,41572,94939,36,6.25,Renewable Energy,Solar panel efficiency optimizer,Elevation Capital
Telangana,Hyderabad,57837,37280,77334,30,4.76,FoodTech,Subscription-based organic meal plans,Blume Ventures
Gujarat,Vadodara,60074,41411,106795,43,8.4,Fintech,AI-driven financial advisory platform,Tiger Global
Uttar Pradesh,Noida,84769,5052,197599,3,2.47,Edtech,Gamified learning platform for kids,Y Combinator
West Bengal,Kolkata,74111,28588,171695,24,4.11,FoodTech,Subscription-based organic meal plans,SoftBank
Delhi,New Delhi,39753,24853,164819,31,6.34,FoodTech,Subscription-based organic meal plans,Tiger Global
Madhya Pradesh,Bhopal,35396,7438,153141,11,9.98,FoodTech,Subscription-based organic meal plans,Elevation Capital
Gujarat,Surat,62452,13359,110006,2,9.78,SaaS,Cloud-based HR management software,Accel Partners
Delhi,New Delhi,13631,30171,20550,23,9.06,Logistics,Last-mile delivery optimization software,Y Combinator
Delhi,New Delhi,25599,23930,119305,31,5.24,Logistics,Last-mile delivery optimization software,Tiger Global
Madhya Pradesh,Indore,21080,3159,99014,37,8.44,Fintech,AI-driven financial advisory platform,Sequoia Capital
Rajasthan,Jodhpur,46998,20307,83216,2,9.0,Edtech,Gamified learning platform for kids,Elevation Capital
Telangana,Hyderabad,30356,44309,49377,44,5.26,AI/ML,Predictive analytics for businesses,Elevation Capital
Gujarat,Surat,16268,1378,152436,21,6.32,SaaS,Cloud-based HR management software,Sequoia Capital
Maharashtra,Mumbai,54100,41196,39887,40,3.55,Real Estate,AI-powered property valuation tool,Y Combinator
Delhi,New Delhi,31924,6743,27507,16,2.97,Real Estate,AI-powered property valuation tool,Matrix Partners
Telangana,Hyderabad,13780,20127,131899,50,6.97,Edtech,Gamified learning platform for kids,Sequoia Capital
Tamil Nadu,Chennai,83398,42550,42306,44,9.93,AI/ML,Predictive analytics for businesses,Tiger Global
Madhya Pradesh,Indore,40923,29681,70860,24,4.38,SaaS,Cloud-based HR management software,Y Combinator
Rajasthan,Jodhpur,45266,18752,133885,44,5.51,AI/ML,Predictive analytics for businesses,Matrix Partners
Tamil Nadu,Madurai,72827,24822,185327,21,1.87,FoodTech,Subscription-based organic meal plans,Sequoia Capital
Gujarat,Surat,47365,24664,76370,22,8.93,Healthcare,Telemedicine platform with AI diagnosis,Accel Partners
West Bengal,Kolkata,53981,3934,84844,21,5.57,SaaS,Cloud-based HR management software,Accel Partners
Rajasthan,Udaipur,82949,49537,149619,17,2.02,Logistics,Last-mile delivery optimization software,SoftBank
Uttar Pradesh,Lucknow,83597,10574,172243,21,6.99,E-commerce,Online marketplace for niche products,Blume Ventures
West Bengal,Howrah,15959,33272,165111,27,8.39,Logistics,Last-mile delivery optimization software,Matrix Partners
Karnataka,Bangalore,52800,14082,59929,24,1.94,Logistics,Last-mile delivery optimization software,Blume Ventures
Tamil Nadu,Madurai,75408,39761,106792,23,3.87,E-commerce,Online marketplace for niche products,Blume Ventures
West Bengal,Howrah,38784,29479,32106,23,5.15,Healthcare,Telemedicine platform with AI diagnosis,Accel Partners
Delhi,New Delhi,63413,23976,193588,30,9.75,SaaS,Cloud-based HR management software,Accel Partners
West Bengal,Kolkata,46793,12203,102062,43,2.43,Renewable Energy,Solar panel efficiency optimizer,SoftBank
Maharashtra,Pune,28863,2551,123761,32,9.19,Real Estate,AI-powered property valuation tool,Matrix Partners
Madhya Pradesh,Indore,81116,21398,198335,17,3.34,SaaS,Cloud-based HR management software,Tiger Global
Gujarat,Surat,41717,44308,112286,18,7.92,Fintech,AI-driven financial advisory platform,Accel Partners
Telangana,Hyderabad,94277,32243,107941,43,4.51,Healthcare,Telemedicine platform with AI diagnosis,General Catalyst
Maharashtra,Pune,54504,37462,27904,10,5.72,Real Estate,AI-powered property valuation tool,Matrix Partners
Uttar Pradesh,Lucknow,47742,28767,31118,3,6.88,Healthcare,Telemedicine platform with AI diagnosis,Accel Partners
Delhi,New Delhi,76857,7245,148412,28,8.68,AI/ML,Predictive analytics for businesses,General Catalyst
Gujarat,Surat,78230,26527,123864,24,9.76,Edtech,Gamified learning platform for kids,General Catalyst
West Bengal,Kolkata,30894,41791,176293,37,8.86,Edtech,Gamified learning platform for kids,Lightspeed Ventures
Telangana,Warangal,88501,5120,128032,40,9.2,Edtech,Gamified learning platform for kids,Lightspeed Ventures
Karnataka,Mysore,79750,39243,132341,46,7.08,E-commerce,Online marketplace for niche products,Tiger Global
Karnataka,Mysore,26184,9282,172275,43,2.47,Edtech,Gamified learning platform for kids,General Catalyst
Madhya Pradesh,Indore,24731,11373,194306,50,3.78,Real Estate,AI-powered property valuation tool,Accel Partners
West Bengal,Kolkata,78621,7323,44322,25,9.9,E-commerce,Online marketplace for niche products,SoftBank
Rajasthan,Jodhpur,49216,23556,109006,35,3.26,Logistics,Last-mile delivery optimization software,Y Combinator
Uttar Pradesh,Lucknow,35736,44814,23008,46,1.28,Edtech,Gamified learning platform for kids,Elevation Capital
Madhya Pradesh,Bhopal,65172,32789,164886,9,7.14,SaaS,Cloud-based HR management software,Matrix Partners
Karnataka,Mysore,72216,28434,59793,25,7.22,AI/ML,Predictive analytics for businesses,Lightspeed Ventures
Gujarat,Vadodara,45999,25768,194272,33,4.03,SaaS,Cloud-based HR management software,Sequoia Capital
Uttar Pradesh,Noida,69613,18157,191375,11,2.31,FoodTech,Subscription-based organic meal plans,Matrix Partners
Telangana,Warangal,18355,48579,96897,15,7.16,Healthcare,Telemedicine platform with AI diagnosis,SoftBank
Madhya Pradesh,Bhopal,43368,27566,86270,8,9.11,Edtech,Gamified learning platform for kids,Elevation Capital
Rajasthan,Udaipur,47374,14769,190120,40,7.9,Edtech,Gamified learning platform for kids,General Catalyst
Uttar Pradesh,Noida,50851,36682,146218,32,5.94,Fintech,AI-driven financial advisory platform,Blume Ventures
Delhi,New Delhi,29227,2253,116184,5,7.53,Edtech,Gamified learning platform for kids,Y Combinator
Uttar Pradesh,Kanpur,54305,20720,137293,21,2.07,Logistics,Last-mile delivery optimization software,Accel Partners
Telangana,Warangal,73975,25159,39020,11,9.46,Healthcare,Telemedicine platform with AI diagnosis,Blume Ventures
Telangana,Warangal,48057,47722,30191,2,7.49,FoodTech,Subscription-based organic meal plans,Lightspeed Ventures
West Bengal,Howrah,77536,40163,135066,28,7.91,Logistics,Last-mile delivery optimization software,Blume Ventures
Tamil Nadu,Chennai,14755,8344,22776,38,1.79,Renewable Energy,Solar panel efficiency optimizer,Tiger Global
Gujarat,Vadodara,89375,38931,171228,44,5.49,AI/ML,Predictive analytics for businesses,General Catalyst
Tamil Nadu,Coimbatore,81832,42514,67495,22,6.26,Renewable Energy,Solar panel efficiency optimizer,Tiger Global
Delhi,New Delhi,20133,24188,110098,22,5.57,FoodTech,Subscription-based organic meal plans,Lightspeed Ventures
Rajasthan,Jaipur,40957,5120,103248,9,7.47,Renewable Energy,Solar panel efficiency optimizer,Sequoia Capital
Delhi,New Delhi,16743,1406,188034,5,2.17,Renewable Energy,Solar panel efficiency optimizer,Matrix Partners
Telangana,Warangal,60131,35129,59914,18,7.61,Edtech,Gamified learning platform for kids,Tiger Global
Gujarat,Surat,41939,22598,58656,17,1.15,AI/ML,Predictive analytics for businesses,Tiger Global
Tamil Nadu,Chennai,47891,37434,111943,46,2.26,Fintech,AI-driven financial advisory platform,Accel Partners
Madhya Pradesh,Indore,86107,5067,133285,20,5.12,Renewable Energy,Solar panel efficiency optimizer,Tiger Global
Maharashtra,Nagpur,74296,25214,121765,10,1.02,E-commerce,Online marketplace for niche products,SoftBank
Karnataka,Hubli,71790,33205,155292,22,2.13,Logistics,Last-mile delivery optimization software,Elevation Capital
Tamil Nadu,Coimbatore,24321,22743,86755,40,3.79,AI/ML,Predictive analytics for businesses,Blume Ventures
Gujarat,Ahmedabad,45029,44210,145624,18,2.93,Renewable Energy,Solar panel efficiency optimizer,SoftBank
Rajasthan,Udaipur,34932,25869,91544,47,9.61,Healthcare,Telemedicine platform with AI diagnosis,Accel Partners
Uttar Pradesh,Noida,57138,32616,54238,10,9.5,Edtech,Gamified learning platform for kids,Elevation Capital
Madhya Pradesh,Bhopal,80100,26947,163205,27,4.03,Healthcare,Telemedicine platform with AI diagnosis,Lightspeed Ventures
Madhya Pradesh,Indore,75417,24822,108291,21,7.03,AI/ML,Predictive analytics for businesses,Accel Partners
Rajasthan,Jaipur,25931,33163,48913,42,6.5,FoodTech,Subscription-based organic meal plans,Lightspeed Ventures
Tamil Nadu,Coimbatore,94269,21735,70518,27,5.91,Renewable Energy,Solar panel efficiency optimizer,General Catalyst
Delhi,New Delhi,18712,31902,105653,34,5.53,Fintech,AI-driven financial advisory platform,General Catalyst
Delhi,New Delhi,76116,26032,59963,7,2.04,Fintech,AI-driven financial advisory platform,Y Combinator
Rajasthan,Jaipur,88132,21376,107324,49,2.04,Logistics,Last-mile delivery optimization software,General Catalyst
Rajasthan,Jaipur,91861,10017,52321,24,4.12,Logistics,Last-mile delivery optimization software,General Catalyst
West Bengal,Kolkata,84982,33888,21712,17,2.14,Healthcare,Telemedicine platform with AI diagnosis,Y Combinator
Telangana,Warangal,79234,14223,180013,9,2.34,E-commerce,Online marketplace for niche products,Y Combinator
Uttar Pradesh,Lucknow,84310,38907,62980,42,8.08,SaaS,Cloud-based HR management software,Elevation Capital
Delhi,New Delhi,82974,2447,28541,39,1.3,Fintech,AI-driven financial advisory platform,General Catalyst
Delhi,New Delhi,42506,26558,142728,18,4.59,E-commerce,Online marketplace for niche products,Matrix Partners
Karnataka,Bangalore,92687,45407,90184,27,1.83,E-commerce,Online marketplace for niche products,Lightspeed Ventures
Karnataka,Hubli,80754,43096,131614,10,8.15,Logistics,Last-mile delivery optimization software,Tiger Global
Madhya Pradesh,Indore,10873,48564,179896,38,8.34,Real Estate,AI-powered property valuation tool,Sequoia Capital
Gujarat,Ahmedabad,93655,48433,81719,17,7.06,Fintech,AI-driven financial advisory platform,Sequoia Capital
Telangana,Hyderabad,99295,24628,139759,41,3.94,Fintech,AI-driven financial advisory platform,Y Combinator
Gujarat,Vadodara,91018,2352,114628,17,7.04,Renewable Energy,Solar panel efficiency optimizer,Sequoia Capital
Uttar Pradesh,Noida,30904,31522,194863,30,3.96,E-commerce,Online marketplace for niche products,Elevation Capital
Maharashtra,Mumbai,91114,2430,98005,39,3.51,AI/ML,Predictive analytics for businesses,Lightspeed Ventures
Karnataka,Mysore,99587,35141,178636,30,8.62,AI/ML,Predictive analytics for businesses,SoftBank
Uttar Pradesh,Lucknow,45548,22308,162550,2,6.34,E-commerce,Online marketplace for niche products,Y Combinator
Telangana,Warangal,92612,31752,142157,21,3.67,E-commerce,Online marketplace for niche products,Lightspeed Ventures
West Bengal,Kolkata,48868,40355,193184,13,9.05,SaaS,Cloud-based HR management software,Accel Partners
Tamil Nadu,Chennai,55612,14560,188217,2,8.8,Logistics,Last-mile delivery optimization software,SoftBank
Rajasthan,Jaipur,78051,47471,167665,17,9.95,AI/ML,Predictive analytics for businesses,Y Combinator
Gujarat,Surat,52816,23368,177683,37,7.88,Logistics,Last-mile delivery optimization software,SoftBank
Karnataka,Hubli,43215,29193,196088,9,8.17,AI/ML,Predictive analytics for businesses,Elevation Capital
Rajasthan,Jaipur,64081,9123,160310,49,4.23,Edtech,Gamified learning platform for kids,SoftBank
Maharashtra,Mumbai,74295,18178,46350,18,6.77,Real Estate,AI-powered property valuation tool,Elevation Capital
Rajasthan,Jodhpur,89764,7905,86545,46,9.18,FoodTech,Subscription-based organic meal plans,Tiger Global
Maharashtra,Mumbai,32418,1882,72707,48,4.03,Real Estate,AI-powered property valuation tool,SoftBank
Telangana,Hyderabad,84102,41475,109430,39,3.6,Real Estate,AI-powered property valuation tool,Lightspeed Ventures
Tamil Nadu,Chennai,88088,42401,86393,23,8.63,Real Estate,AI-powered property valuation tool,General Catalyst
Telangana,Hyderabad,38404,25946,73773,30,7.33,Fintech,AI-driven financial advisory platform,Blume Ventures
West Bengal,Kolkata,14761,24392,39270,46,2.8,Renewable Energy,Solar panel efficiency optimizer,Tiger Global
Maharashtra,Nagpur,56337,27661,74837,31,9.95,AI/ML,Predictive analytics for businesses,Sequoia Capital
Rajasthan,Jodhpur,51391,26889,184640,25,3.16,FoodTech,Subscription-based organic meal plans,Sequoia Capital
Tamil Nadu,Madurai,58827,27743,115004,45,2.45,Healthcare,Telemedicine platform with AI diagnosis,Matrix Partners
Tamil Nadu,Madurai,27996,34527,176036,4,8.21,Renewable Energy,Solar panel efficiency optimizer,Accel Partners
Uttar Pradesh,Kanpur,29546,11971,23756,15,9.55,Renewable Energy,Solar panel efficiency optimizer,Accel Partners
Rajasthan,Udaipur,87672,2561,66963,33,6.55,Healthcare,Telemedicine platform with AI diagnosis,Y Combinator
Maharashtra,Pune,26768,20467,58066,38,4.36,Logistics,Last-mile delivery optimization software,Sequoia Capital
Telangana,Hyderabad,88236,17797,184129,7,3.25,Logistics,Last-mile delivery optimization software,Blume Ventures
Madhya Pradesh,Bhopal,17948,19892,124757,18,3.81,Logistics,Last-mile delivery optimization software,Y Combinator
Maharashtra,Mumbai,44055,31373,136578,2,8.3,FoodTech,Subscription-based organic meal plans,Y Combinator
Uttar Pradesh,Noida,70442,2815,83292,9,5.56,SaaS,Cloud-based HR management software,Y Combinator
Maharashtra,Mumbai,80405,33246,53624,40,3.83,Edtech,Gamified learning platform for kids,Sequoia Capital
Uttar Pradesh,Noida,96272,31319,137718,41,9.26,Fintech,AI-driven financial advisory platform,Accel Partners
Maharashtra,Pune,29784,1158,191877,9,4.95,Healthcare,Telemedicine platform with AI diagnosis,Tiger Global
Maharashtra,Mumbai,77266,48145,192668,38,7.46,Real Estate,AI-powered property valuation tool,Blume Ventures
Gujarat,Ahmedabad,40619,18316,150936,29,3.63,Edtech,Gamified learning platform for kids,Tiger Global
Uttar Pradesh,Noida,16016,37554,181633,23,8.79,Healthcare,Telemedicine platform with AI diagnosis,Matrix Partners
Uttar Pradesh,Noida,81048,20386,183343,36,8.12,Fintech,AI-driven financial advisory platform,General Catalyst
Telangana,Warangal,91447,19606,23715,8,9.17,SaaS,Cloud-based HR management software,Accel Partners
Gujarat,Vadodara,52553,9825,171515,38,9.84,Logistics,Last-mile delivery optimization software,SoftBank
Maharashtra,Pune,27135,27571,118156,4,9.89,Renewable Energy,Solar panel efficiency optimizer,Matrix Partners
Delhi,New Delhi,48751,28881,146267,33,6.26,Renewable Energy,Solar panel efficiency optimizer,SoftBank
Tamil Nadu,Coimbatore,47391,44287,198438,24,5.47,Healthcare,Telemedicine platform with AI diagnosis,SoftBank
Uttar Pradesh,Lucknow,50104,44556,198453,27,5.83,Edtech,Gamified learning platform for kids,Blume Ventures
Gujarat,Ahmedabad,94638,30446,97463,47,3.47,Fintech,AI-driven financial advisory platform,Accel Partners
Tamil Nadu,Coimbatore,54565,28553,60054,16,6.63,FoodTech,Subscription-based organic meal plans,Tiger Global
Karnataka,Bangalore,85337,37142,64496,21,4.92,Real Estate,AI-powered property valuation tool,Y Combinator
Rajasthan,Udaipur,92732,29235,103263,31,8.12,E-commerce,Online marketplace for niche products,SoftBank
Uttar Pradesh,Lucknow,50162,41031,37667,34,5.96,AI/ML,Predictive analytics for businesses,SoftBank
Delhi,New Delhi,99899,1649,116949,22,9.2,E-commerce,Online marketplace for niche products,Matrix Partners
Maharashtra,Mumbai,70402,5506,68548,11,5.05,FoodTech,Subscription-based organic meal plans,Sequoia Capital
Uttar Pradesh,Noida,66370,33685,107653,25,1.32,AI/ML,Predictive analytics for businesses,Lightspeed Ventures
Tamil Nadu,Chennai,25745,33106,135934,41,7.82,Edtech,Gamified learning platform for kids,Lightspeed Ventures
Karnataka,Hubli,45947,15563,134923,36,5.1,Fintech,AI-driven financial advisory platform,SoftBank
Telangana,Hyderabad,59535,45348,36685,15,7.7,AI/ML,Predictive analytics for businesses,General Catalyst
Delhi,New Delhi,79008,9638,100299,36,1.24,E-commerce,Online marketplace for niche products,Y Combinator
Uttar Pradesh,Kanpur,31794,11349,167457,50,2.7,AI/ML,Predictive analytics for businesses,Elevation Capital
Telangana,Warangal,45358,39975,116209,21,3.36,SaaS,Cloud-based HR management software,Elevation Capital
Delhi,New Delhi,89729,36088,118614,50,4.4,Fintech,AI-driven financial advisory platform,Lightspeed Ventures
Karnataka,Hubli,80010,11269,153157,15,6.66,Renewable Energy,Solar panel efficiency optimizer,Accel Partners
Delhi,New Delhi,97596,36721,71478,6,9.52,E-commerce,Online marketplace for niche products,Sequoia Capital
West Bengal,Howrah,33565,21767,84765,39,4.08,Fintech,AI-driven financial advisory platform,SoftBank
West Bengal,Howrah,25927,36135,116765,22,5.12,SaaS,Cloud-based HR management software,Accel Partners
Uttar Pradesh,Lucknow,44286,3211,184090,45,1.71,Renewable Energy,Solar panel efficiency optimizer,Y Combinator
Telangana,Warangal,46163,16037,68152,44,6.52,Logistics,Last-mile delivery optimization software,Blume Ventures
Uttar Pradesh,Lucknow,78839,37876,33808,24,2.34,FoodTech,Subscription-based organic meal plans,SoftBank
Gujarat,Vadodara,47079,1518,176877,32,2.47,E-commerce,Online marketplace for niche products,General Catalyst
Rajasthan,Udaipur,61253,33288,142933,50,2.46,E-commerce,Online marketplace for niche products,General Catalyst
Maharashtra,Pune,75692,18596,41855,44,2.1,AI/ML,Predictive analytics for businesses,Accel Partners
Uttar Pradesh,Noida,58248,33761,110741,35,7.28,Fintech,AI-driven financial advisory platform,SoftBank
Karnataka,Bangalore,52871,44333,98093,10,9.32,Real Estate,AI-powered property valuation tool,Y Combinator
Karnataka,Hubli,80945,11072,89629,16,6.16,Real Estate,AI-powered property valuation tool,Sequoia Capital
Maharashtra,Nagpur,30841,5806,70733,10,3.88,FoodTech,Subscription-based organic meal plans,SoftBank
Maharashtra,Mumbai,75212,25315,184476,3,6.2,Healthcare,Telemedicine platform with AI diagnosis,Accel Partners
Tamil Nadu,Chennai,42175,49690,83756,6,4.23,SaaS,Cloud-based HR management software,SoftBank
Rajasthan,Udaipur,34908,30907,40357,37,2.27,AI/ML,Predictive analytics for businesses,Sequoia Capital
West Bengal,Howrah,83599,31381,123310,27,3.69,Fintech,AI-driven financial advisory platform,Sequoia Capital
West Bengal,Kolkata,62876,32823,96490,13,3.25,Real Estate,AI-powered property valuation tool,Matrix Partners
Tamil Nadu,Madurai,39373,23948,30889,11,6.04,Fintech,AI-driven financial advisory platform,General Catalyst
Maharashtra,Mumbai,17515,16480,152186,5,6.09,Healthcare,Telemedicine platform with AI diagnosis,Elevation Capital
Tamil Nadu,Madurai,87026,18316,49907,22,5.08,Renewable Energy,Solar panel efficiency optimizer,Sequoia Capital
West Bengal,Howrah,51868,45026,175723,35,7.28,Edtech,Gamified learning platform for kids,Sequoia Capital
Uttar Pradesh,Noida,14427,29107,141463,26,1.95,Renewable Energy,Solar panel efficiency optimizer,Elevation Capital
Maharashtra,Mumbai,41299,2465,65432,24,1.68,FoodTech,Subscription-based organic meal plans,Y Combinator
West Bengal,Kolkata,22740,47121,33597,36,7.21,Renewable Energy,Solar panel efficiency optimizer,Sequoia Capital
Gujarat,Vadodara,15936,21525,50346,10,4.38,Healthcare,Telemedicine platform with AI diagnosis,Tiger Global
Telangana,Hyderabad,65059,47963,168730,45,9.58,Edtech,Gamified learning platform for kids,SoftBank
Karnataka,Mysore,94115,20162,67171,20,8.95,FoodTech,Subscription-based organic meal plans,Accel Partners
Uttar Pradesh,Lucknow,38724,35132,146172,39,7.36,E-commerce,Online marketplace for niche products,Elevation Capital
Tamil Nadu,Chennai,58164,41788,85046,41,8.74,Fintech,AI-driven financial advisory platform,Y Combinator
Rajasthan,Udaipur,11399,35377,82128,15,6.8,Edtech,Gamified learning platform for kids,Blume Ventures
West Bengal,Howrah,85254,48271,137771,7,3.04,SaaS,Cloud-based HR management software,Sequoia Capital
Delhi,New Delhi,19851,35134,127406,21,2.33,Renewable Energy,Solar panel efficiency optimizer,Matrix Partners
Maharashtra,Pune,62217,32206,29641,45,7.05,Logistics,Last-mile delivery optimization software,Accel Partners
Delhi,New Delhi,13437,37066,41764,15,8.12,FoodTech,Subscription-based organic meal plans,Elevation Capital
Delhi,New Delhi,64364,43792,65681,32,9.05,Edtech,Gamified learning platform for kids,Lightspeed Ventures
Madhya Pradesh,Indore,23538,24048,191498,49,4.19,Edtech,Gamified learning platform for kids,Accel Partners
Gujarat,Surat,94166,28534,114227,45,8.95,Renewable Energy,Solar panel efficiency optimizer,General Catalyst
Tamil Nadu,Coimbatore,42811,49011,73429,14,9.43,Real Estate,AI-powered property valuation tool,Blume Ventures
West Bengal,Kolkata,80814,1885,159091,24,9.42,Real Estate,AI-powered property valuation tool,Elevation Capital
Tamil Nadu,Madurai,41842,38683,184983,30,8.51,AI/ML,Predictive analytics for businesses,Y Combinator
Uttar Pradesh,Noida,58628,11420,155908,13,6.54,Renewable Energy,Solar panel efficiency optimizer,Blume Ventures
Rajasthan,Jaipur,35522,33613,82967,36,2.58,E-commerce,Online marketplace for niche products,Blume Ventures
Madhya Pradesh,Bhopal,66439,38256,122114,34,4.64,E-commerce,Online marketplace for niche products,General Catalyst
Rajasthan,Jodhpur,29585,29694,153870,28,1.28,Renewable Energy,Solar panel efficiency optimizer,Lightspeed Ventures
Delhi,New Delhi,78651,44339,128317,32,1.29,Renewable Energy,Solar panel efficiency optimizer,Elevation Capital
Karnataka,Mysore,13191,2281,182147,48,7.22,Real Estate,AI-powered property valuation tool,Y Combinator
Rajasthan,Udaipur,27659,32154,26220,47,9.46,AI/ML,Predictive analytics for businesses,General Catalyst
Telangana,Hyderabad,70335,1510,187916,10,1.52,Real Estate,AI-powered property valuation tool,Matrix Partners
